Value: , Text: 
Value: АИ, Text: Автоматика и информационни технологии (АИ)
Value: БД, Text: Биоматериали за приложение в медицината (БД)
Value: БМ, Text: Биомедицинско инженерство (БМ)
Value: БА, Text: Биомедицинско инженерство (на английски език) (БА)
Value: БХ, Text: Биопродуктово инженерство, хартия и опаковки (БХ)
Value: БТ, Text: Биотехнологии (БТ)
Value: БЕ, Text: Биотехнологии (на английски език) (БЕ)
Value: ГБ, Text: Горива и биоенергийни технологии (ГБ)
Value: ДП, Text: Дигитални и конвенционални печатни технологии и дизайн (ДП)
Value: ЕЕ, Text: Енергийна и екологична ефективност (ЕЕ)
Value: ЗТ, Text: Зелени технологии (ЗТ)
Value: ИМ, Text: Индустриален мениджмънт (ИМ)
Value: ИБ, Text: Индустриална безопасност (ИБ)
Value: ЕК, Text: Инженерна екология и опазване на околната среда (ЕК)
Value: ЕХ, Text: Инженерна електрохимия и корозия (ЕХ)
Value: ИИ, Text: Инженерна информатика (ИИ)
Value: МЗ, Text: Инженерни материали и материалознание (МЗ)
Value: МТ, Text: Металургия (МТ)
Value: НК, Text: Неорганични и електрохимични технологии и защита от корозия (НК)
Value: НВ, Text: Неорганични технологии (НВ)
Value: ПК, Text: Парфюмерия и козметика (ПК)
Value: ПИ, Text: Полимерно инженерство (ПИ)
Value: ТД, Text: Технологичен дизайн на текстила и кожите (ТД)
Value: СЛ, Text: Технология на стъклото, керамиката и свързващите вещества (СЛ)
Value: ОС, Text: Фин органичен синтез (ОС)
Value: БИ, Text: Химично и биохимично инженерство с преподаване на френски език (БИ)
Value: ХИ, Text: Химично инженерство (ХИ)
Value: ХП, Text: Химично инженерство с преподаване на немски език (ХП)
Value: ЧЕ, Text: Чиста енергия и устойчиво развитие (ЧЕ)
